movie,year,imdb,votes
Ivanhoe,1913,5.5,35
"Germinal; or, The Toll of Labor",1913,7,77
Ingeborg Holm,1913,7.2,827
Robin Hood,1913,5.9,27
Traffic in Souls,1913,6.1,503
Fantomas: The Man in Black,1913,6.9,1239
The Adventures of Kathlyn,1913,6,15
Tess of the D'Urbervilles,1913,5.9,7
Fantômas: The Dead Man Who Killed,1913,6.9,960
The Battle of Gettysburg,1913,6.4,18
The Prisoner of Zenda,1913,6,27
Atlantis,1913,6.7,285
The Sea Wolf,1913,5.9,7
Antony and Cleopatra,1913,5.5,30
His Neighbor's Wife,1913,6.4,8
A Message from Mars,1913,5.2,100
"Les Misérables, Part 1: Jean Valjean",1913,6,19
A Militant Suffragette,1913,5.6,39
L'enfant de Paris,1913,7.7,260
Caprice,1913,6.9,7
The Count of Monte Cristo,1913,5.6,32
One Hundred Years of Mormonism,1913,5.1,8
David Copperfield,1913,6.1,29
Twilight of a Woman's Soul,1913,6.8,492
From Dusk to Dawn,1913,6,85
In the Bishop's Carriage,1913,6.4,8
Die Insel der Seligen,1913,4.8,32
The Life and Works of Richard Wagner,1913,6.4,76
Sixty Years a Queen,1913,4.2,8
Protéa,1913,6.6,21
Spartacus,1913,5.7,45
The Extraordinary Adventures of Saturnino Farandola,1913,6.3,135
The Last Days of Pompeii,1913,6.1,15
Brother Against Brother,1913,5.9,23
Lime Kiln Club Field Day,1913,6.1,21
Der Andere,1913,5.8,58
"Les Misérables, Part 2: Fantine",1913,5.8,18
Hamlet,1913,5,33
The Terrible Vengeance,1913,6.4,9
Who Will Marry Mary?,1913,5.7,11
What 80 Million Women Want,1913,4.5,24
My Husband's Getting Married,1913,4.4,17
When the Earth Trembled,1913,5.6,22
Dick Whittington and his Cat,1913,5.9,16
Where Is Coletti?,1913,6.6,14
The Black Diamond,1913,5.4,14
Ten Nights in a Barroom,1913,6,19
Ben Bolt,1913,6.4,9
Hurricane in Galveston,1913,7.3,11
Victory,1913,6.4,7
Sodoms Ende,1913,8.1,9
The Triumph of an Emperor,1913,5,16
Die schwarze Natter,1913,4.9,12
Zigomar - the Black Scourge - Episode 1,1913,6.3,9
Voodoo Vengeance,1913,5,9
De medeminaars,1913,6,11
The Siren,1913,6.6,5
Excelsior,1913,6.3,9
Doctor Nicholson and the Blue Diamond,1913,5.5,13
Down with Weapons,1914,5.9,15
Der Millionenonkel,1913,5.6,7
Cabiria,1914,6.8,2695
The Perils of Pauline,1914,7.5,902
The Patchwork Girl of Oz,1914,5.4,334
Neptune's Daughter,1914,6.1,23
Tillie's Punctured Romance,1914,7,3043
The New Wizard of Oz,1914,5,382
The Squaw Man,1914,6.1,776
Cinderella,1914,6.6,897
The Life of General Villa,1914,6.5,36
Judith of Bethulia,1914,7.2,1131
The Jungle,1914,7.4,40
Brewster's Millions,1914,7.2,21
The Spoilers,1914,6.5,40
In the Land of the Head Hunters,1914,6,356
Sealed Orders,1914,7.1,421
"Home, Sweet Home",1914,6,160
The Exploits of Elaine,1914,6.6,39
The Wrath of the Gods,1914,5.7,124
Der Hund von Baskerville,1914,5.1,34
Hearts Adrift,1914,6.1,8
Damon and Pythias,1914,5.2,8
A Florida Enchantment,1914,6,170
The Avenging Conscience: or 'Thou Shalt Not Kill',1914,6.9,992
The Battle of the Sexes,1914,6.6,44
Uncle Tom's Cabin,1914,5.5,88
Tess of the Storm Country,1914,6.3,141
Love Everlasting,1914,6.6,83
Absinthe,1914,7.6,5
The Virginian,1914,5.7,152
The Call of the North,1914,5.5,22
Fantômas: The False Magistrate,1914,6.9,853
The Stain,1914,6.2,13
The Bargain,1914,6.7,107
A Good Little Devil,1914,5.9,10
The Sign of the Cross,1914,6.3,23
War Is Hell,1914,6.9,88
The Wishing Ring: An Idyll of Old England,1914,6.5,202
Fantomas: The Mysterious Finger Print,1914,6.8,1072
Michael Strogoff,1914,5.4,13
Lola,1914,4.9,8
The Million Dollar Mystery,1914,5.6,19
The Ghost Breaker,1914,4.9,15
The Good-for-Nothing,1914,4.2,18
Little Lord Fauntleroy,1914,5.4,8
The Dream Woman,1914,5.4,8
Samson,1914,4.6,9
The Hazards of Helen,1914,6.9,73
The Naked Truth,1914,4.5,11
The Merchant of Venice,1914,5.6,10
Anna Karenina,1914,5.5,13
An American Citizen,1914,8.2,16
Blue Blood,1914,6.6,36
Martin Eden,1914,5.8,6
The Land of the Lost,1914,6.6,5
The Nightingale,1914,7.3,10
The Man from Mexico,1914,8.9,19
Rip Van Winkle,1914,5.4,16
The Escape,1914,6.4,17
The Pride of the Firm,1914,5.3,43
Evangeline,1914,8,10
Salomy Jane,1914,6.1,31
'Round the World in 80 Days,1914,5.6,19
The Typhoon,1914,5.7,11
Miss Soapsuds,1914,7.1,9
Golddigger,1914,5.4,16
In the Days of the Thundering Herd,1914,6.3,11
Lucille Love: The Girl of Mystery,1914,6.2,6
A Venetian Night,1914,5.7,17
Mute Witnesses,1914,6.1,69
Alone with the Devil,1914,6,11
Captive Souls,1914,5.3,16
The Reign of Terror,1914,5.8,28
A Study in Scarlet,1914,5.3,7
My Official Wife,1914,5.9,15
The Valley of the Moon,1914,6.6,7
Across the Pacific,1914,4.1,9
The Adventures of Andy Clark,1914,5,7
Trilby,1914,3.5,13
An Odyssey of the North,1914,5.4,9
"The $5,000,000 Counterfeiting Plot",1914,7,11
Dance of the Vampire,1914,8.5,13
Engelein,1914,6.9,67
"Salambo, a $100,000 Spectacle",1914,6.6,9
The Active Life of Dolly of the Dailies,1914,6.2,40
The Trey o' Hearts,1914,1.5,8
McVeagh of the South Seas,1914,4.6,11
The Beloved Adventurer,1914,6.9,9
