movie,year,imdb,votes
The Restless Years,1958,6.6,149
Les Misérables,1958,7.6,1171
Hot Spell,1958,7.2,346
"Too Much, Too Soon",1958,6.7,493
Fort Dobbs,1958,6.9,505
Torpedo Run,1958,6.5,1632
Le Beau Serge,1958,7.2,2536
Madhumati,1958,8.1,1005
Queen of Outer Space,1958,4.6,1635
The Last Hurrah,1958,7.4,2470
Corridors of Blood,1958,6.5,1465
The Aztec Mummy Against the Humanoid Robot,1958,2.3,2187
The Snorkel,1958,6.8,823
The Return of Dracula,1958,5.7,997
Merry Andrew,1958,6.8,655
Frankenstein 1970,1958,4.8,816
Neither Seen Nor Recognized,1958,7.3,1192
The Camp on Blood Island,1958,6.5,275
The Female Animal,1958,6.4,126
Me and the Colonel,1958,7,545
The Night Heaven Fell,1958,5.7,568
Chalti Ka Naam Gaadi,1958,8,1165
The Naked Maja,1958,5.6,329
Carve Her Name with Pride,1958,7.3,1417
She Demons,1958,4.5,440
The Tunnel of Love,1958,6,969
The Perfect Furlough,1958,6.3,625
Six-Five Special,1958,5.9,73
The Badlanders,1958,6.5,961
Tamango,1958,6.6,154
La violetera,1958,6.9,265
The Brain Eaters,1958,4.1,1021
Ten North Frederick,1958,7,515
Rosemary,1958,6.7,268
Monster on the Campus,1958,5.9,1311
Christine,1958,6.4,725
The Sheepman,1958,6.9,2057
Nowhere to Go,1958,7,433
High School Confidential!,1958,6.3,747
The Thing That Couldn't Die,1958,3.4,1222
Terror from the Year 5000,1958,2.5,1129
Teenage Cave Man,1958,3.1,1177
War of the Colossal Beast,1958,3.4,1593
A Certain Smile,1958,6.4,207
Rock-a-Bye Baby,1958,6.8,1501
The Space Children,1958,3.7,1032
Mädchen in Uniform,1958,7.1,1086
Immer die Radfahrer,1958,5.9,329
Ride a Crooked Trail,1958,6.7,648
Frankenstein's Daughter,1958,3.9,733
Darby's Rangers,1958,6.5,1026
Night of the Blood Beast,1958,3.1,1550
The Sign of Zorro,1958,7.1,555
The Idiot,1958,7.8,475
The Woman Eater,1958,4.6,411
Hot Rod Gang,1958,5.5,162
The Goddess,1958,6.8,682
The Hideous Sun Demon,1958,3.9,986
The Lady Takes a Flyer,1958,5.7,130
Terror in a Texas Town,1958,6.8,1481
The Moonraker,1958,6,271
How to Make a Monster,1958,5.3,679
Onionhead,1958,6,487
Lonelyhearts,1958,6.8,974
Desert Patrol,1958,6.8,709
Fort Massacre,1958,6.3,655
Screaming Mimi,1958,5.8,432
Cry Terror!,1958,6.6,744
Cattle Empire,1958,6.3,412
Tarzan's Fight for Life,1958,5.3,392
The Bride and the Beast,1958,3.4,305
The Last of the Fast Guns,1958,6.2,287
The Whole Truth,1958,6.3,282
Giant from the Unknown,1958,4.9,479
Anna Lucasta,1958,6.8,376
Sierra Baron,1958,6.4,91
Bullwhip,1958,5.1,240
The Fiend Who Walked the West,1958,6.5,157
The Gift of Love,1958,6.5,342
Never Love a Stranger,1958,5.4,246
Raw Wind in Eden,1958,6.4,79
Fort Bowie,1958,5.6,242
I Bury the Living,1958,6.3,2152
The Wind Cannot Read,1958,6.2,268
Cairo Station,1958,7.8,2460
Showdown at Boot Hill,1958,6.4,281
Das Wirtshaus im Spessart,1958,6.5,522
When Hell Broke Loose,1958,5.9,206
She Gods of Shark Reef,1958,2.6,791
Devar Bhabhi,1958,7.2,6
War of the Satellites,1958,5.1,503
Youthful Sinners,1958,7.2,475
The Doctor of Stalingrad,1958,6.3,108
Voice in the Mirror,1958,6.9,80
Room 43,1958,6.8,93
Curse of the Faceless Man,1958,4.9,557
Violent Playground,1958,6.7,378
Kala Pani,1958,7,224
The Fearmakers,1958,6.1,483
Hell Squad,1958,5.2,76
The Decks Ran Red,1958,6.3,321
The H-Man,1958,6.1,990
The Haunted Strangler,1958,6.3,1047
Howrah Bridge,1958,7,147
Macabre,1958,5.8,878
"I, a Negro",1958,7.4,656
Mardi Gras,1958,5.6,148
The Bonnie Parker Story,1958,5.9,229
The Strange World of Planet X,1958,4.9,788
Maracaibo,1958,6.7,75
Eroica,1958,7.6,747
Apache Territory,1958,5.7,342
The Law Is the Law,1958,7.5,699
The Day the Sky Exploded,1958,4.4,522
Sea Fury,1958,6.1,154
Tempest,1958,6.4,170
The Doctor's Dilemma,1958,6,360
My World Dies Screaming,1958,5.2,472
Up the Creek,1958,6.3,222
Born Reckless,1958,5.2,89
A Cry from the Streets,1958,6.6,112
Daddy-O,1958,2.2,771
Paris Holiday,1958,5.9,320
This Happy Feeling,1958,6.1,239
Love on the Riviera,1958,5.9,100
Some Like It Hot,1959,8.2,213511
Ben-Hur,1959,8.1,196330
North by Northwest,1959,8.3,263956
Island of Lost Women,1959,5,188
Sleeping Beauty,1959,7.3,118573
Journey to the Center of the Earth,1959,7.1,13558
Rio Bravo,1959,8,49628
Anatomy of a Murder,1959,8,52779
The 400 Blows,1959,8.1,89389
House on Haunted Hill,1959,6.9,19713
Plan 9 from Outer Space,1959,4,33104
Imitation of Life,1959,7.9,13008
The Horse Soldiers,1959,7.2,8162
Four Desperate Men,1959,6.4,132
Last Train from Gun Hill,1959,7.4,5622
The Diary of Anne Frank,1959,7.4,10768
Pillow Talk,1959,7.5,13424
On the Beach,1959,7.2,10706
"Suddenly, Last Summer",1959,7.6,12278
No Name on the Bullet,1959,7.3,1667
Darby O'Gill and the Little People,1959,7.2,5999
Hiroshima Mon Amour,1959,8,24008
Operation Petticoat,1959,7.3,10912
The Nun's Story,1959,7.6,8272
Gidget,1959,6.7,2710
Santa Claus,1959,2.6,4180
Day of the Outlaw,1959,7.3,2386
A Summer Place,1959,7,2512
Black Orpheus,1959,7.5,8435
They Came to Cordura,1959,6.5,1655
Pickpocket,1959,7.8,16500
Green Mansions,1959,5.6,1860
The Mummy,1959,6.8,6823
The Wasp Woman,1959,4.6,3269
Floating Weeds,1959,8,6059
Porgy and Bess,1959,7.3,1345
The Alligator People,1959,5.5,1503
Good Morning,1959,7.9,6042
Apur Sansar,1959,8.3,9403
The Human Condition I: No Greater Love,1959,8.6,4883
A Hole in the Head,1959,6.3,2080
The Five Pennies,1959,7.3,1447
Compulsion,1959,7.5,5117
The Tingler,1959,6.7,6198
The Hound of the Baskervilles,1959,7,8033
The Shaggy Dog,1959,6.5,3694
Li'l Abner,1959,6.7,1144
Room at the Top,1959,7.7,4363
The Mouse That Roared,1959,7,7449
The Hanging Tree,1959,7.2,3078
Carry On Nurse,1959,6.3,2154
Never So Few,1959,5.9,2587
The Angry Red Planet,1959,5.3,2491
Ride Lonesome,1959,7.3,3713
The Devil's Disciple,1959,7.3,1833
Kaagaz Ke Phool,1959,8.1,1700
Pork Chop Hill,1959,7.1,3763
The Killer Shrews,1959,3.9,3912
The Giant Gila Monster,1959,3.4,3098
The Bridge,1959,7.8,6219
General Della Rovere,1959,7.9,2398
The Wonderful Country,1959,6.2,1251
The Hangman,1959,6.7,556
Look Back in Anger,1959,7.2,2792
The 39 Steps,1959,6.6,1567
A Bucket of Blood,1959,6.8,4857
Timbuktu,1959,5.7,258
Westbound,1959,6.7,891
The Gunfight at Dodge City,1959,6.2,636
I'm All Right Jack,1959,7.3,3136
Carry On Teacher,1959,6.3,1760
Attack of the Giant Leeches,1959,3.6,3461
Alias Jesse James,1959,6.5,1063
It Happened to Jane,1959,6.6,2017
Odds Against Tomorrow,1959,7.4,3043
Jack the Ripper,1959,6.2,533
The Bat,1959,6.1,3530
4D Man,1959,5.9,1118
The Giant Behemoth,1959,5.8,1854
Solomon and Sheba,1959,6.2,2515
Hercules Unchained,1959,4.4,1723
North West Frontier,1959,7.2,1869
Bobbikins,1959,5,118
Tiger Bay,1959,7.6,1967
Expresso Bongo,1959,6.3,345
The Last Days of Pompeii,1959,5.7,899
Watusi,1959,5.7,247
Legions of the Nile,1959,5.6,190
Vice Raid,1959,5.3,196
The Young Philadelphians,1959,7.4,2775
The Blue Angel,1959,6.3,249
Horrors of the Black Museum,1959,6,942
Sapphire,1959,7.2,1038
Warlock,1959,7.3,4622
The Female,1959,5.3,185
The Wreck of the Mary Deare,1959,6.8,1996
The St. Louis Bank Robbery,1959,5.9,1031
Our Man in Havana,1959,7.2,4164
The Man Who Could Cheat Death,1959,6.4,1261
The Monster of Piedras Blancas,1959,5.4,522
Les liaisons dangereuses,1959,6.9,1084
The FBI Story,1959,6.6,2662
Teenagers from Outer Space,1959,3.6,2783
The Sound and the Fury,1959,6.4,665
"Caltiki, the Immortal Monster",1959,6,960
The Stranglers of Bombay,1959,6.4,656
The Crimson Kimono,1959,6.9,1640
The Journey,1959,7,1269
Third Man on the Mountain,1959,7.4,706
Al Capone,1959,6.8,1241
"The World, the Flesh and the Devil",1959,7,2194
Tiger of Bengal,1959,6.8,2021
The Miracle,1959,6.2,347
The 30 Foot Bride of Candy Rock,1959,6.1,638
The Great War,1959,8.3,3181
Night of the Ghouls,1959,3.6,2021
Terror Is a Man,1959,5.4,491
I Spit on Your Grave,1959,5.6,193
Guns Girls and Gangsters,1959,6.4,293
Beloved Infidel,1959,6.1,829
Face of a Fugitive,1959,6.6,522
Nazarin,1959,8,4374
Paratroop Command,1959,5.3,136
Ballad of a Soldier,1959,8.1,8388
Les Cousins,1959,7.4,2159
The Best of Everything,1959,6.4,1492
Return of the Fly,1959,5.8,3698
Too Many Crooks,1959,7,815
Night Train,1959,7.8,2178
The Manster,1959,5.4,1036
Have Rocket -- Will Travel,1959,5.9,602
Up Periscope,1959,6.5,1374
Sheba and the Gladiator,1959,5.6,187
Hannibal,1959,5.3,587
The Sky Calls,1959,4.5,604
Satta Bazaar,1959,7,15
Curse of the Undead,1959,6.1,639
The Gazebo,1959,6.9,1438
The Scapegoat,1959,7.1,1441
The Chaplin Revue,1959,7.8,969
Shake Hands with the Devil,1959,7.1,954
Career,1959,7,480
The Giant of Marathon,1959,5.1,691
Fires on the Plain,1959,8,3819
Ten Seconds to Hell,1959,6.5,674
The Human Condition II: Road to Eternity,1959,8.5,3835
Violent Summer,1959,7.6,1032
Girls Town,1959,3.2,704
Middle of the Night,1959,7.3,900
The Indian Tomb,1959,6.8,1838
Upstairs and Downstairs,1959,7,350
Ask Any Girl,1959,6.7,628
The Princess with the Golden Star,1959,7.3,695
The Big Circus,1959,6.4,521
First Man Into Space,1959,5.5,1000
That Kind of Woman,1959,6.3,432
Le Bossu,1959,7,979
Beast from Haunted Cave,1959,4.2,1309
The Beat Generation,1959,5.6,252
The Atomic Submarine,1959,5.2,1126
The Wild and the Innocent,1959,6.5,524
Veerapandiya Kattabomman,1959,7.5,158
Thunder in the Sun,1959,5.5,302
Operation Amsterdam,1959,6.5,527
Yesterday's Enemy,1959,7.1,503
No Trees in the Street,1959,6.2,105
There Will Be No Leave Today,1959,6.6,1127
Invisible Invaders,1959,5,1311
Come Dance with Me!,1959,6.3,487
Invasion of the Animal People,1959,3.9,749
Don't Give Up the Ship,1959,6.6,591
Holiday for Lovers,1959,5.8,220
Serious Charge,1959,6.4,133
It Started with a Kiss,1959,6.1,571
The Head,1959,5.3,502
Model for Murder,1959,6,72
But Not for Me,1959,6.6,418
Goliath and the Barbarians,1959,5.7,232
The Jayhawkers!,1959,6.4,459
"Tarzan, the Ape Man",1959,3.9,237
Blue Denim,1959,6.7,440
Cuban Rebel Girls,1959,3.1,187
The Mating Game,1959,7,1153
Two Men in Manhattan,1959,6.8,1259
The Ugly Duckling,1959,5.9,48
Ferry to Hong Kong,1959,5.6,400
"Stalingrad: Dogs, Do You Want to Live Forever?",1959,7.2,615
Tarzan's Greatest Adventure,1959,6.6,963
Ghost of Dragstrip Hollow,1959,4.9,478
The Trap,1959,6.7,347
The Immoral Mr. Teas,1959,4.7,758
The Day the Earth Froze,1959,3.5,927
John Paul Jones,1959,7,831
The Gene Krupa Story,1959,6.8,506
Adorable Sinner,1959,5.9,256
These Thousand Hills,1959,6.4,459
Hidden Homicide,1959,5.8,54
Battle in Outer Space,1959,5.7,871
The Law,1959,6.9,598
Jet Storm,1959,6.6,180
The Purple Gang,1959,6.2,126
Man in a Cocked Hat,1959,6.4,654
Say One for Me,1959,5.5,199
The Big Operator,1959,6.6,117
Verboten!,1959,6.9,701
The Story on Page One,1959,7,419
The Pirate and the Slave Girl,1959,5.4,62
The Angry Hills,1959,5.8,788
Anari,1959,7.9,578
The Four Skulls of Jonathan Drake,1959,5.9,716
Sube y baja,1959,7,288
Please Turn Over,1959,6.4,153
The Remarkable Mr. Pennypacker,1959,6.7,224
The Big Fisherman,1959,5.8,291
The Last Angry Man,1959,7.1,645
Aangan,1959,6.8,30
Libel,1959,7.2,811
Picnic on the Grass,1959,7,738
Woman Obsessed,1959,6.2,227
Temptation,1959,7.4,25
"Archimède, le clochard",1959,6.6,381
The Oregon Trail,1959,5.1,194
Cover Girl Killer,1959,5.9,207
The Last Blitzkrieg,1959,5.7,176
Kali Topi Lal Rumal,1959,6.4,12
"I, Sinner",1959,7.4,21
Face of the Frog,1959,6.4,765
Revenge of the Virgins,1959,3.8,210
Edge of Eternity,1959,6.3,568
The Big Night,1959,7.1,420
The Ghost of Yotsuya,1959,7.1,1018
A Private's Affair,1959,5.8,80
The Facts of Murder,1959,7.6,797
The Man in the Net,1959,6.2,471
This Earth Is Mine,1959,6.5,335
The Cosmic Man,1959,4.7,355
Whirlpool,1959,5.8,69
Leda,1959,6.8,989
Escort West,1959,6.2,400
The White Warrior,1959,5.3,221
Odd Obsession,1959,7.1,639
Chance Meeting,1959,6.9,537
Battle of the Coral Sea,1959,5.6,316
Teenage Zombies,1959,2.8,831
Fiasco in Milan,1959,7.1,714
Pendekar bujang lapok,1959,7.6,144
Babette Goes to War,1959,6.1,293
Maigret and the St. Fiacre Case,1959,7.1,937
1001 Arabian Nights,1959,6.3,224
Marie-Octobre,1959,7.4,764
Psycho,1960,8.5,518517
Spartacus,1960,7.9,110860
The Magnificent Seven,1960,7.8,79018
The Apartment,1960,8.3,138477
The Time Machine,1960,7.6,32089
North to Alaska,1960,7,6125
Breathless,1960,7.9,62618
La Dolce Vita,1960,8.1,57438
Bottoms Up,1960,6.5,108
School for Scoundrels,1960,7.5,2726
Ocean's 11,1960,6.6,17814
Swiss Family Robinson,1960,7.2,11898
The City of the Dead,1960,6.8,4971
G.I. Blues,1960,6.2,2836
The Alamo,1960,6.9,12750
The Unforgiven,1960,6.7,6372
Hell to Eternity,1960,7.1,859
Two Women,1960,7.9,7848
The Bad Sleep Well,1960,8.1,9235
Eyes Without a Face,1960,7.8,21636
Peeping Tom,1960,7.7,26264
13 Ghosts,1960,6.1,4482
Exodus,1960,6.8,7950
Carry On Constable,1960,6.3,1845
Purple Noon,1960,7.8,11509
The Little Shop of Horrors,1960,6.3,14271
The Virgin Spring,1960,8.1,22896
Where the Boys Are,1960,6.7,2034
L'Avventura,1960,7.9,22188
Last Woman on Earth,1960,4.8,1496
Inherit the Wind,1960,8.2,23816
Pollyanna,1960,7.4,7907
Elmer Gantry,1960,7.8,9016
Alakazam the Great,1960,5.9,311
Rocco and His Brothers,1960,8.3,13821
Black Sunday,1960,7.3,11642
Hell Is a City,1960,7.2,771
Wild River,1960,7.7,4161
Let's Make Love,1960,6.5,5868
House of Usher,1960,7,10256
Village of the Damned,1960,7.3,12928
The Lost World,1960,5.5,3098
Comanche Station,1960,7.1,2638
Queen of the Tabarin Club,1960,6.1,35
BUtterfield 8,1960,6.4,5051
Bells Are Ringing,1960,7.1,2514
Le Trou,1960,8.5,12274
Sink the Bismarck!,1960,7.2,6178
Midnight Lace,1960,6.8,3895
Saturday Night and Sunday Morning,1960,7.7,6503
The World of Suzie Wong,1960,7.1,1903
Flaming Star,1960,6.6,2662
The Loves of Hercules,1960,3,855
Shoot the Piano Player,1960,7.6,15098
Late Autumn,1960,8.2,3615
Home from the Hill,1960,7.5,2506
The 3 Worlds of Gulliver,1960,6.5,2016
The Fugitive Kind,1960,7.2,4676
Please Don't Eat the Daisies,1960,6.5,3539
From the Terrace,1960,6.7,2213
The Wackiest Ship in the Army,1960,6.3,1678
Tall Story,1960,6,708
Tunes of Glory,1960,7.7,3009
The Story of Ruth,1960,6.8,844
The Sundowners,1960,7.2,3357
The Entertainer,1960,7.1,2544
The Nudist Story,1960,5.9,89
First Spaceship on Venus,1960,4.3,2262
The Naked Island,1960,8.3,4140
Sergeant Rutledge,1960,7.5,3410
Strangers When We Meet,1960,7.1,1540
Macario,1960,8.4,1926
The Grass Is Greener,1960,6.6,3957
It Started in Naples,1960,6.3,2019
The League of Gentlemen,1960,7.5,3222
Never on Sunday,1960,7.3,4571
Circus of Horrors,1960,6.2,1278
The Brides of Dracula,1960,6.8,5770
The Two Faces of Dr. Jekyll,1960,6.5,1985
Pepe,1960,5.5,735
Kapò,1960,7.7,1630
Sex Kittens Go to College,1960,3.4,377
All the Fine Young Cannibals,1960,6.1,679
Can-Can,1960,6.4,1783
Heller in Pink Tights,1960,6.1,1058
The Truth,1960,7.6,2102
Sons and Lovers,1960,7.3,1118
The Spider's Web,1960,2.4,3371
Zazie dans le Métro,1960,7.1,4614
Mughal-E-Azam,1960,8.3,5771
The Adventures of Huckleberry Finn,1960,6.3,1195
The Bellboy,1960,6.5,3381
Toby Tyler or Ten Weeks with a Circus,1960,7.1,756
Concrete Jungle,1960,7,998
Tormented,1960,4.2,1868
Cinderfella,1960,6,2676
The Millionairess,1960,5.5,1496
Jigoku,1960,6.9,2812
The Trials of Oscar Wilde,1960,7.1,690
Kidnapped,1960,6.7,1116
The Savage Innocents,1960,7.1,1466
Who Was That Lady?,1960,6.8,1015
The Devil's Eye,1960,7.2,2929
Wild for Kicks,1960,6.5,738
Seven Ways from Sundown,1960,7,610
Cimarron,1960,6.4,2301
Seven Thieves,1960,6.6,1054
The Young One,1960,7.5,2183
Letter Never Sent,1960,7.9,2508
Visit to a Small Planet,1960,6.1,974
Song Without End,1960,6,535
The Gallant Hours,1960,7.2,1178
Blood and Roses,1960,6.7,965
The Flesh and the Fiends,1960,7.1,1290
David and Goliath,1960,4.9,521
Dinosaurus!,1960,5,1019
Classe Tous Risques,1960,7.5,2660
Full Moon,1960,7.2,334
"Murder, Inc.",1960,6.6,1065
"The 1,000 Eyes of Dr. Mabuse",1960,7.1,2452
The Wild Ride,1960,4.6,537
Never Take Sweets from a Stranger,1960,7.3,836
The Dark at the Top of the Stairs,1960,7.4,622
The Miracle Roses,1960,5.1,8
Les Bonnes Femmes,1960,7.6,2092
The Last Voyage,1960,6.7,1628
Never Let Go,1960,7.1,889
Journey to the Lost City,1960,6.8,190
The Mountain Road,1960,6.3,617
The Battle of Austerlitz,1960,6.3,488
High Time,1960,6.2,488
Bell' Antonio,1960,7.5,1075
Sword of Sherwood Forest,1960,6.3,909
All the Young Men,1960,6.2,408
Not Tonight Henry,1960,5.3,43
Playgirl After Dark,1960,6.4,258
Private Property,1960,6.8,436
When a Woman Ascends the Stairs,1960,8.2,3100
Esther and the King,1960,5.5,517
Portrait in Black,1960,6.7,1053
Testament of Orpheus,1960,7.4,2310
The Girl in Lovers Lane,1960,2.6,798
5 Branded Women,1960,6.7,392
A Breath of Scandal,1960,5.6,652
The Lady with the Dog,1960,7.5,813
Hideout in the Sun,1960,4.9,140
The Facts of Life,1960,6.6,1064
The Rat Race,1960,6.8,915
Stop Me Before I Kill!,1960,6,420
Conspiracy of Hearts,1960,7.1,404
The Private Lives of Adam and Eve,1960,4.6,90
Two Way Stretch,1960,7,1593
Black Cross,1960,6.9,1435
Beyond the Time Barrier,1960,5.3,957
The Housemaid,1960,7.3,2421
Cash McCall,1960,6.4,988
I Passed for White,1960,6.3,89
Mill of the Stone Women,1960,6.7,1104
The Subterraneans,1960,5.2,247
The Cloud-Capped Star,1960,8.1,1855
The Battle of the Sexes,1960,6.8,1016
Barsaat Ki Raat,1960,7,104
The Bulldog Breed,1960,6.6,667
Oklahoma Territory,1960,6,104
Tarzan the Magnificent,1960,6.7,548
Assignment: Outer Space,1960,3.5,673
Young Jesse James,1960,5.2,77
The Great Impostor,1960,7.1,972
Naked Youth,1960,7,1701
La rivolta degli schiavi,1960,5.5,119
The Land Where the Ganges Flows,1960,7.4,354
Seven Days... Seven Nights,1960,6.9,584
Devi,1960,8,1565
"Morgan, the Pirate",1960,5.8,294
Atom Age Vampire,1960,3.8,1277
The Angry Silence,1960,7.7,1025
Noose for a Gunman,1960,5.5,126
Hungry for Love,1960,7.6,596
Hell Bent for Leather,1960,6.9,566
The Sinister Urge,1960,2.4,1214
The Amazing Transparent Man,1960,3.8,1877
Guns of the Timberland,1960,5.8,256
The Vampire and the Ballerina,1960,5.6,343
Under Ten Flags,1960,6.6,384
"Once More, with Feeling!",1960,6.3,392
The Warrior Empress,1960,5.3,101
The Beatniks,1960,2.2,820
Love in Rome,1960,6.7,180
Doctor in Love,1960,5.7,288
"The Minotaur, the Wild Beast of Crete",1960,5,191
Vengeance of Hercules,1960,5.3,365
Ice Palace,1960,6.3,259
The Pure Hell of St. Trinian's,1960,6.3,632
The Hypnotic Eye,1960,5.8,565
Wake Me When It's Over,1960,6.5,273
Ten Who Dared,1960,5.6,161
There Was a Crooked Man,1960,6.9,105
The Leech Woman,1960,4.4,1461
Cleopatra's Daughter,1960,5,146
Inspector Palmu's Error,1960,8,1592
I'll Give My Life,1960,6.5,51
The Hands of Orlac,1960,5.8,323
Studs Lonigan,1960,5.4,231
The Crowded Sky,1960,5.9,491
Brainwashed,1960,6.9,462
Watch Your Stern,1960,5.8,246
Man in the Moon,1960,6.2,246
Because They're Young,1960,5.9,269
"Do widzenia, do jutra...",1960,7.1,465
La caperucita roja,1960,5.6,79
12 to the Moon,1960,2.8,842
I Aim at the Stars,1960,6.2,157
A Dog of Flanders,1960,7.1,317
Kohinoor,1960,6.6,122
Crack in the Mirror,1960,7,145
The Plunderers,1960,6.6,191
Jungle Street Girls,1960,6,61
Kanoon,1960,7.7,287
Man on a String,1960,6.3,230
Bhakta Kanakadasa,1960,8.8,24
Una estrella y dos estrellados,1960,6.9,8
Why Must I Die?,1960,5.5,60
The Night Fighters,1960,6.2,237
The Rise and Fall of Legs Diamond,1960,6.8,818
Son of Samson,1960,5.4,141
Sunrise at Campobello,1960,7.1,963
Everybody Go Home!,1960,7.8,775
Pay or Die!,1960,6.9,389
Surprise Package,1960,5.8,215
The Ship of Monsters,1960,6.5,260
Kala Bazar,1960,7.2,199
Messalina,1960,5.9,111
Sweet Deceptions,1960,7,161
Pirates of the Coast,1960,5.9,80
Mi último tango,1960,6.4,95
The Hand,1960,5,185
The Day They Robbed the Bank of England,1960,6.7,644
The Bramble Bush,1960,5.6,153
One Foot in Hell,1960,6.3,373
September Storm,1960,4.9,119
The Pharaohs' Woman,1960,6.6,29
The Passionate Thief,1960,7.4,562
Let No Man Write My Epitaph,1960,7.2,379
The White Horse Inn,1960,5.8,302
Skywatch,1960,6.5,128
The Angel Wore Red,1960,5.7,483
Silver Spoon Set,1960,7,129
The Tell-Tale Heart,1960,5.8,354
The Sun's Burial,1960,7.2,650
West Side Story,1961,7.6,84989
Breakfast at Tiffany's,1961,7.7,147608
Blue Hawaii,1961,6.1,4729
The Guns of Navarone,1961,7.6,41054
Pocketful of Miracles,1961,7.3,5216
The Parent Trap,1961,7.1,16590
101 Dalmatians,1961,7.2,133130
Babes in Toyland,1961,6.3,2934
Yojimbo,1961,8.3,93889
Judgment at Nuremberg,1961,8.2,59810
The Hustler,1961,8,69410
The Misfits,1961,7.4,15198
A Raisin in the Sun,1961,8.1,6011
Splendor in the Grass,1961,7.8,15675
One-Eyed Jacks,1961,7.2,8324
El Cid,1961,7.3,11419
Mysterious Island,1961,6.8,5545
The Innocents,1961,7.9,22991
Through a Glass Darkly,1961,8.1,19169
The Children's Hour,1961,7.8,12476
The Last Sunset,1961,6.8,2382
"One, Two, Three",1961,7.9,17253
The Comancheros,1961,6.9,7135
Last Year at Marienbad,1961,7.9,17337
La Notte,1961,8,14704
Pit and the Pendulum,1961,7.1,10913
King of Kings,1961,7.1,5980
A Woman Is a Woman,1961,7.6,12842
Cash on Demand,1961,7.5,967
Lover Come Back,1961,7.2,5955
Viridiana,1961,8.2,19177
The Absent Minded Professor,1961,6.8,6305
Flower Drum Song,1961,7,2126
The Colossus of Rhodes,1961,5.9,2421
Mr. Sardonicus,1961,6.7,2141
No Place Like Homicide!,1961,6.5,628
Mothra,1961,6.6,2834
Homicidal,1961,6.9,2404
I Promised to Pay,1961,7,447
A Taste of Honey,1961,7.6,4056
Murder She Said,1961,7.4,5325
The Roman Spring of Mrs. Stone,1961,6.6,2132
Barabbas,1961,7,4870
Divorce Italian Style,1961,8.2,9914
Reptilicus,1961,3.6,3165
Two Rode Together,1961,6.8,4588
Accattone,1961,7.8,6428
Gorgo,1961,5.6,2636
Come September,1961,7.1,2775
Scream of Fear,1961,7.4,3101
Pirates of Tortuga,1961,5.2,218
Paris Blues,1961,6.7,2130
Blast of Silence,1961,7.6,3306
The Ladies Man,1961,6.5,3069
Wild in the Country,1961,6.5,1323
Town Without Pity,1961,7.3,1296
Lola,1961,7.6,4137
The Day the Earth Caught Fire,1961,7.2,3993
Whistle Down the Wind,1961,7.8,2671
Master of the World,1961,6,2395
The Outsider,1961,7.6,592
Atlantis: The Lost Continent,1961,5.5,1328
Summer and Smoke,1961,7.7,1545
The Devil at 4 O'Clock,1961,6.5,1685
Something Wild,1961,6.8,1023
The Steamroller and the Violin,1961,7.5,4531
Victim,1961,7.8,4262
Girl with a Suitcase,1961,7.7,1490
Voyage to the Bottom of the Sea,1961,6.1,4976
Night Tide,1961,6.4,1898
The End of Summer,1961,8,3007
Greyfriars Bobby: The True Story of a Dog,1961,7.4,1055
The Deadly Companions,1961,6.1,1778
Back Street,1961,6.8,788
The Curse of the Werewolf,1961,6.8,4502
Tintin et le mystère de la Toison d'Or,1961,6,1112
Carry On Regardless,1961,6.1,1621
The Phantom Planet,1961,3.4,2367
Paris Belongs to Us,1961,6.9,1687
Duel of the Titans,1961,6,474
The Young Savages,1961,6.9,1799
Fanny,1961,7,1734
The Honeymoon Machine,1961,6.2,1035
The Naked Edge,1961,6.7,828
The Human Condition III: A Soldier's Prayer,1961,8.8,3754
Il Posto,1961,8.1,3722
Posse from Hell,1961,6.7,645
Goodbye Again,1961,7,2120
Creature from the Haunted Sea,1961,3.4,2275
The Terror of the Tongs,1961,5.9,634
On the Double,1961,6.5,542
Operation Eichmann,1961,6.3,221
"Léon Morin, Priest",1961,7.8,3131
Diary of a Nudist,1961,4.1,355
Underworld U.S.A.,1961,7.4,2227
All in a Night's Work,1961,6.3,572
The Beast of Yucca Flats,1961,2.4,6977
Hercules Conquers Atlantis,1961,3.9,1106
Return to Peyton Place,1961,5.9,646
Too Late Blues,1961,6.9,950
Hercules in the Haunted World,1961,6.4,1374
The Second Time Around,1961,6.4,359
The Explosive Generation,1961,6.6,312
Gidget Goes Hawaiian,1961,5.8,836
Loss of Innocence,1961,7.1,408
Tulipunainen kyyhkynen,1961,7.1,189
Francis of Assisi,1961,6.5,673
Eve and the Handyman,1961,4.1,416
Constantine and the Cross,1961,5.9,342
Gunga Jumna,1961,7.6,432
La viaccia,1961,7.1,334
Wonderful to Be Young!,1961,5.9,510
Striped Trip,1961,7.5,1745
The Trojan Horse,1961,6.1,361
The Pleasure of His Company,1961,6.9,627
No Love for Johnnie,1961,7.2,444
Ring of Fire,1961,6.3,396
The Devil's Hand,1961,4.5,924
Pit of Darkness,1961,6.2,102
The Errand Boy,1961,6.5,1594
Snow White and the Three Stooges,1961,5.3,824
Pigs and Battleships,1961,7.6,1612
Romulus and the Sabines,1961,4.7,234
Placido,1961,8.2,2169
Erik the Conqueror,1961,6.2,563
Spotlight on a Murderer,1961,6.7,341
Parrish,1961,6.6,851
Five Minutes to Live,1961,5.7,605
The Wonders of Aladdin,1961,5.7,232
